sample,predicted_tf,deconv_tool,tumor_type,regions,seq_depth,sample_size,seq_method,mixture_type,expected_tf
healthy_NBL_0.1_20000000_rep1,0.251535135035799,MeDeCom,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.1
healthy_NBL_0.1_20000000_rep10,0.246412136895706,MeDeCom,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.1
healthy_NBL_0.1_20000000_rep2,0.251347645329501,MeDeCom,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.1
healthy_NBL_0.1_20000000_rep3,0.254822246338787,MeDeCom,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.1
healthy_NBL_0.1_20000000_rep4,0.251486557477976,MeDeCom,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.1
healthy_NBL_0.1_20000000_rep5,0.25008908631136,MeDeCom,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.1
healthy_NBL_0.1_20000000_rep7,0.247334123249756,MeDeCom,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.1
healthy_NBL_0.1_20000000_rep8,0.25008725508725,MeDeCom,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.1
healthy_NBL_0.1_20000000_rep9,0.248713167947713,MeDeCom,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.1
healthy_NBL_0.25_20000000_rep10,0.564633982607363,MeDeCom,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.25
healthy_NBL_0.25_20000000_rep2,0.564125418009516,MeDeCom,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.25
healthy_NBL_0.25_20000000_rep3,0.56021866220817,MeDeCom,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.25
healthy_NBL_0.25_20000000_rep4,0.562124956994088,MeDeCom,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.25
healthy_NBL_0.25_20000000_rep5,0.566039987830494,MeDeCom,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.25
healthy_NBL_0.25_20000000_rep6,0.563166058270478,MeDeCom,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.25
healthy_NBL_0.25_20000000_rep7,0.564855141398784,MeDeCom,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.25
healthy_NBL_0.25_20000000_rep8,0.566637369351688,MeDeCom,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.25
healthy_NBL_0.25_20000000_rep9,0.567124400399235,MeDeCom,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.25
healthy_NBL_0.5_20000000_rep1,0.998804232983743,MeDeCom,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.5
healthy_NBL_0.5_20000000_rep10,1.0,MeDeCom,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.5
healthy_NBL_0.5_20000000_rep2,0.998725576815718,MeDeCom,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.5
healthy_NBL_0.5_20000000_rep3,0.998575041590408,MeDeCom,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.5
healthy_NBL_0.5_20000000_rep4,0.994001539416985,MeDeCom,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.5
healthy_NBL_0.5_20000000_rep5,0.995399021366232,MeDeCom,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.5
healthy_NBL_0.5_20000000_rep7,0.997914297004429,MeDeCom,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.5
healthy_NBL_0.5_20000000_rep8,0.996409212561273,MeDeCom,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.5
healthy_NBL_0.5_20000000_rep9,0.995515752230515,MeDeCom,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0.5
healthy_NBL_0_20000000_rep1,0.0,MeDeCom,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0
healthy_NBL_0_20000000_rep10,0.0,MeDeCom,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0
healthy_NBL_0_20000000_rep2,0.0011402236486144,MeDeCom,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0
healthy_NBL_0_20000000_rep3,0.0003740318210494,MeDeCom,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0
healthy_NBL_0_20000000_rep4,0.0,MeDeCom,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0
healthy_NBL_0_20000000_rep5,0.0,MeDeCom,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0
healthy_NBL_0_20000000_rep6,0.0,MeDeCom,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0
healthy_NBL_0_20000000_rep7,0.0023525772255096,MeDeCom,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0
healthy_NBL_0_20000000_rep8,0.0001700257884345,MeDeCom,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0
healthy_NBL_0_20000000_rep9,0.0,MeDeCom,NBL,CpGIslands,2000000,100,cfrrbs,in_silico,0
healthy_NBL_0.0001_20000000_rep1,0.0022,RefFreeCellMix,NBL,CpGIslands,2000000,50,cfrrbs,in_silico,0.0001
healthy_NBL_0.0001_20000000_rep10,0.0005,RefFreeCellMix,NBL,CpGIslands,2000000,50,cfrrbs,in_silico,0.0001
healthy_NBL_0.0001_20000000_rep2,0.0,RefFreeCellMix,NBL,CpGIslands,2000000,50,cfrrbs,in_silico,0.0001
healthy_NBL_0.0001_20000000_rep7,0.0005,RefFreeCellMix,NBL,CpGIslands,2000000,50,cfrrbs,in_silico,0.0001
healthy_NBL_0.0001_20000000_rep9,0.0,RefFreeCellMix,NBL,CpGIslands,2000000,50,cfrrbs,in_silico,0.0001
healthy_NBL_0.001_20000000_rep3,0.0013,RefFreeCellMix,NBL,CpGIslands,2000000,50,cfrrbs,in_silico,0.001
healthy_NBL_0.001_20000000_rep4,0.0021,RefFreeCellMix,NBL,CpGIslands,2000000,50,cfrrbs,in_silico,0.001
healthy_NBL_0.001_20000000_rep5,0.0026,RefFreeCellMix,NBL,CpGIslands,2000000,50,cfrrbs,in_silico,0.001
healthy_NBL_0.001_20000000_rep6,0.001,RefFreeCellMix,NBL,CpGIslands,2000000,50,cfrrbs,in_silico,0.001
healthy_NBL_0.003_20000000_rep1,0.0073,RefFreeCellMix,NBL,CpGIslands,2000000,50,cfrrbs,in_silico,0.003
healthy_NBL_0.003_20000000_rep10,0.007,RefFreeCellMix,NBL,CpGIslands,2000000,50,cfrrbs,in_silico,0.003
healthy_NBL_0.003_20000000_rep2,0.0089,RefFreeCellMix,NBL,CpGIslands,2000000,50,cfrrbs,in_silico,0.003
healthy_NBL_0.003_20000000_rep4,0.0097,RefFreeCellMix,NBL,CpGIslands,2000000,50,cfrrbs,in_silico,0.003
healthy_NBL_0.003_20000000_rep6,0.0075,RefFreeCellMix,NBL,CpGIslands,2000000,50,cfrrbs,in_silico,0.003
healthy_NBL_0.003_20000000_rep7,0.0059,RefFreeCellMix,NBL,CpGIslands,2000000,50,cfrrbs,in_silico,0.003
healthy_NBL_0.003_20000000_rep8,0.0072,RefFreeCellMix,NBL,CpGIslands,2000000,50,cfrrbs,in_silico,0.003
healthy_NBL_0.007_20000000_rep5,0.0179,RefFreeCellMix,NBL,CpGIslands,2000000,50,cfrrbs,in_silico,0.007
healthy_NBL_0.007_20000000_rep6,0.0153,RefFreeCellMix,NBL,CpGIslands,2000000,50,cfrrbs,in_silico,0.007
healthy_NBL_0.007_20000000_rep7,0.0195,RefFreeCellMix,NBL,CpGIslands,2000000,50,cfrrbs,in_silico,0.007
healthy_NBL_0.007_20000000_rep8,0.0216,RefFreeCellMix,NBL,CpGIslands,2000000,50,cfrrbs,in_silico,0.007
healthy_NBL_0.01_20000000_rep10,0.0271,RefFreeCellMix,NBL,CpGIslands,2000000,50,cfrrbs,in_silico,0.01
healthy_NBL_0.01_20000000_rep5,0.0267,RefFreeCellMix,NBL,CpGIslands,2000000,50,cfrrbs,in_silico,0.01
healthy_NBL_0.01_20000000_rep9,0.026,RefFreeCellMix,NBL,CpGIslands,2000000,50,cfrrbs,in_silico,0.01
healthy_NBL_0.025_20000000_rep1,0.0647,RefFreeCellMix,NBL,CpGIslands,2000000,50,cfrrbs,in_silico,0.025
healthy_NBL_0.025_20000000_rep3,0.0657,RefFreeCellMix,NBL,CpGIslands,2000000,50,cfrrbs,in_silico,0.025
healthy_NBL_0.025_20000000_rep4,0.0669,RefFreeCellMix,NBL,CpGIslands,2000000,50,cfrrbs,in_silico,0.025
healthy_NBL_0.025_20000000_rep5,0.0652,RefFreeCellMix,NBL,CpGIslands,2000000,50,cfrrbs,in_silico,0.025
healthy_NBL_0.025_20000000_rep6,0.064,RefFreeCellMix,NBL,CpGIslands,2000000,50,cfrrbs,in_silico,0.025
healthy_NBL_0.025_20000000_rep9,0.0658,RefFreeCellMix,NBL,CpGIslands,2000000,50,cfrrbs,in_silico,0.025
healthy_NBL_0.05_20000000_rep2,0.1272,RefFreeCellMix,NBL,CpGIslands,2000000,50,cfrrbs,in_silico,0.05
healthy_NBL_0.05_20000000_rep4,0.1337,RefFreeCellMix,NBL,CpGIslands,2000000,50,cfrrbs,in_silico,0.05
healthy_NBL_0.1_20000000_rep2,0.2506,RefFreeCellMix,NBL,CpGIslands,2000000,50,cfrrbs,in_silico,0.1
healthy_NBL_0.1_20000000_rep8,0.2491,RefFreeCellMix,NBL,CpGIslands,2000000,50,cfrrbs,in_silico,0.1
healthy_NBL_0.25_20000000_rep10,0.5631,RefFreeCellMix,NBL,CpGIslands,2000000,50,cfrrbs,in_silico,0.25
healthy_NBL_0.25_20000000_rep4,0.5615,RefFreeCellMix,NBL,CpGIslands,2000000,50,cfrrbs,in_silico,0.25
healthy_NBL_0.25_20000000_rep6,0.5632,RefFreeCellMix,NBL,CpGIslands,2000000,50,cfrrbs,in_silico,0.25
healthy_NBL_0.25_20000000_rep7,0.5634,RefFreeCellMix,NBL,CpGIslands,2000000,50,cfrrbs,in_silico,0.25
healthy_NBL_0.5_20000000_rep1,1.0,RefFreeCellMix,NBL,CpGIslands,2000000,50,cfrrbs,in_silico,0.5
healthy_NBL_0.5_20000000_rep2,0.9992,RefFreeCellMix,NBL,CpGIslands,2000000,50,cfrrbs,in_silico,0.5
healthy_NBL_0.5_20000000_rep3,1.0,RefFreeCellMix,NBL,CpGIslands,2000000,50,cfrrbs,in_silico,0.5
healthy_NBL_0.5_20000000_rep5,0.9966,RefFreeCellMix,NBL,CpGIslands,2000000,50,cfrrbs,in_silico,0.5
healthy_NBL_0.5_20000000_rep6,0.9982,RefFreeCellMix,NBL,CpGIslands,2000000,50,cfrrbs,in_silico,0.5
healthy_NBL_0.5_20000000_rep7,0.9972,RefFreeCellMix,NBL,CpGIslands,2000000,50,cfrrbs,in_silico,0.5
healthy_NBL_0.5_20000000_rep8,0.9971,RefFreeCellMix,NBL,CpGIslands,2000000,50,cfrrbs,in_silico,0.5
healthy_NBL_0.5_20000000_rep9,0.9957,RefFreeCellMix,NBL,CpGIslands,2000000,50,cfrrbs,in_silico,0.5
healthy_NBL_0_20000000_rep2,0.0012,RefFreeCellMix,NBL,CpGIslands,2000000,50,cfrrbs,in_silico,0
healthy_NBL_0_20000000_rep3,0.0,RefFreeCellMix,NBL,CpGIslands,2000000,50,cfrrbs,in_silico,0
healthy_NBL_0_20000000_rep4,0.0,RefFreeCellMix,NBL,CpGIslands,2000000,50,cfrrbs,in_silico,0
healthy_NBL_0_20000000_rep6,0.0,RefFreeCellMix,NBL,CpGIslands,2000000,50,cfrrbs,in_silico,0
healthy_NBL_0_20000000_rep8,0.0,RefFreeCellMix,NBL,CpGIslands,2000000,50,cfrrbs,in_silico,0
healthy_NBL_0.0001_20000000_rep1,0.0021108155518161,MeDeCom,NBL,CpGIslands,2000000,50,cfrrbs,in_silico,0.0001
healthy_NBL_0.0001_20000000_rep10,0.000473417803898,MeDeCom,NBL,CpGIslands,2000000,50,cfrrbs,in_silico,0.0001
healthy_NBL_0.0001_20000000_rep2,0.0,MeDeCom,NBL,CpGIslands,2000000,50,cfrrbs,in_silico,0.0001
healthy_NBL_0.0001_20000000_rep7,0.0004327058777026,MeDeCom,NBL,CpGIslands,2000000,50,cfrrbs,in_silico,0.0001
healthy_NBL_0.0001_20000000_rep9,0.0,MeDeCom,NBL,CpGIslands,2000000,50,cfrrbs,in_silico,0.0001
healthy_NBL_0.001_20000000_rep3,0.0011922860304973,MeDeCom,NBL,CpGIslands,2000000,50,cfrrbs,in_silico,0.001
healthy_NBL_0.001_20000000_rep4,0.0020253725095693,MeDeCom,NBL,CpGIslands,2000000,50,cfrrbs,in_silico,0.001
healthy_NBL_0.001_20000000_rep5,0.0024615611225075,MeDeCom,NBL,CpGIslands,2000000,50,cfrrbs,in_silico,0.001
healthy_NBL_0.001_20000000_rep6,0.0009721619020699,MeDeCom,NBL,CpGIslands,2000000,50,cfrrbs,in_silico,0.001
healthy_NBL_0.003_20000000_rep1,0.006932032122209,MeDeCom,NBL,CpGIslands,2000000,50,cfrrbs,in_silico,0.003
healthy_NBL_0.003_20000000_rep10,0.0066099849384484,MeDeCom,NBL,CpGIslands,2000000,50,cfrrbs,in_silico,0.003
healthy_NBL_0.003_20000000_rep2,0.0083995370952501,MeDeCom,NBL,CpGIslands,2000000,50,cfrrbs,in_silico,0.003
healthy_NBL_0.003_20000000_rep4,0.0091552546432789,MeDeCom,NBL,CpGIslands,2000000,50,cfrrbs,in_silico,0.003
healthy_NBL_0.003_20000000_rep6,0.0071107647521323,MeDeCom,NBL,CpGIslands,2000000,50,cfrrbs,in_silico,0.003
healthy_NBL_0.003_20000000_rep7,0.0055719711812706,MeDeCom,NBL,CpGIslands,2000000,50,cfrrbs,in_silico,0.003
healthy_NBL_0.003_20000000_rep8,0.0067995300819853,MeDeCom,NBL,CpGIslands,2000000,50,cfrrbs,in_silico,0.003
healthy_NBL_0.007_20000000_rep5,0.0169772786263511,MeDeCom,NBL,CpGIslands,2000000,50,cfrrbs,in_silico,0.007
healthy_NBL_0.007_20000000_rep6,0.0144916947284361,MeDeCom,NBL,CpGIslands,2000000,50,cfrrbs,in_silico,0.007
healthy_NBL_0.007_20000000_rep7,0.0184990578737627,MeDeCom,NBL,CpGIslands,2000000,50,cfrrbs,in_silico,0.007
healthy_NBL_0.007_20000000_rep8,0.0205055459665454,MeDeCom,NBL,CpGIslands,2000000,50,cfrrbs,in_silico,0.007
healthy_NBL_0.01_20000000_rep10,0.0256674257931677,MeDeCom,NBL,CpGIslands,2000000,50,cfrrbs,in_silico,0.01
healthy_NBL_0.01_20000000_rep5,0.0253430419258085,MeDeCom,NBL,CpGIslands,2000000,50,cfrrbs,in_silico,0.01
healthy_NBL_0.01_20000000_rep9,0.0246552246361251,MeDeCom,NBL,CpGIslands,2000000,50,cfrrbs,in_silico,0.01
healthy_NBL_0.025_20000000_rep1,0.0613444129949281,MeDeCom,NBL,CpGIslands,2000000,50,cfrrbs,in_silico,0.025
healthy_NBL_0.025_20000000_rep3,0.0622679364113793,MeDeCom,NBL,CpGIslands,2000000,50,cfrrbs,in_silico,0.025
healthy_NBL_0.025_20000000_rep4,0.0634759611201277,MeDeCom,NBL,CpGIslands,2000000,50,cfrrbs,in_silico,0.025
healthy_NBL_0.025_20000000_rep5,0.0618281995055969,MeDeCom,NBL,CpGIslands,2000000,50,cfrrbs,in_silico,0.025
healthy_NBL_0.025_20000000_rep6,0.0607066549045046,MeDeCom,NBL,CpGIslands,2000000,50,cfrrbs,in_silico,0.025
healthy_NBL_0.025_20000000_rep9,0.062384646844503,MeDeCom,NBL,CpGIslands,2000000,50,cfrrbs,in_silico,0.025
healthy_NBL_0.05_20000000_rep2,0.120640464182282,MeDeCom,NBL,CpGIslands,2000000,50,cfrrbs,in_silico,0.05
healthy_NBL_0.05_20000000_rep4,0.126808280658188,MeDeCom,NBL,CpGIslands,2000000,50,cfrrbs,in_silico,0.05
healthy_NBL_0.1_20000000_rep2,0.237660382031244,MeDeCom,NBL,CpGIslands,2000000,50,cfrrbs,in_silico,0.1
healthy_NBL_0.1_20000000_rep8,0.236227756646165,MeDeCom,NBL,CpGIslands,2000000,50,cfrrbs,in_silico,0.1
healthy_NBL_0.25_20000000_rep10,0.53402119901914,MeDeCom,NBL,CpGIslands,2000000,50,cfrrbs,in_silico,0.25
healthy_NBL_0.25_20000000_rep4,0.532540816127086,MeDeCom,NBL,CpGIslands,2000000,50,cfrrbs,in_silico,0.25
healthy_NBL_0.25_20000000_rep6,0.534186091565124,MeDeCom,NBL,CpGIslands,2000000,50,cfrrbs,in_silico,0.25
healthy_NBL_0.25_20000000_rep7,0.534356022023519,MeDeCom,NBL,CpGIslands,2000000,50,cfrrbs,in_silico,0.25
healthy_NBL_0.5_20000000_rep1,0.948437788942698,MeDeCom,NBL,CpGIslands,2000000,50,cfrrbs,in_silico,0.5
healthy_NBL_0.5_20000000_rep2,0.947664365046455,MeDeCom,NBL,CpGIslands,2000000,50,cfrrbs,in_silico,0.5
healthy_NBL_0.5_20000000_rep3,0.948425373647464,MeDeCom,NBL,CpGIslands,2000000,50,cfrrbs,in_silico,0.5
healthy_NBL_0.5_20000000_rep5,0.945174202404029,MeDeCom,NBL,CpGIslands,2000000,50,cfrrbs,in_silico,0.5
healthy_NBL_0.5_20000000_rep6,0.946752223419612,MeDeCom,NBL,CpGIslands,2000000,50,cfrrbs,in_silico,0.5
healthy_NBL_0.5_20000000_rep7,0.945732093606243,MeDeCom,NBL,CpGIslands,2000000,50,cfrrbs,in_silico,0.5
healthy_NBL_0.5_20000000_rep8,0.945668926120223,MeDeCom,NBL,CpGIslands,2000000,50,cfrrbs,in_silico,0.5
healthy_NBL_0.5_20000000_rep9,0.944347177687033,MeDeCom,NBL,CpGIslands,2000000,50,cfrrbs,in_silico,0.5
healthy_NBL_0_20000000_rep2,0.0010991718925071,MeDeCom,NBL,CpGIslands,2000000,50,cfrrbs,in_silico,0
healthy_NBL_0_20000000_rep3,0.0,MeDeCom,NBL,CpGIslands,2000000,50,cfrrbs,in_silico,0
healthy_NBL_0_20000000_rep4,0.0,MeDeCom,NBL,CpGIslands,2000000,50,cfrrbs,in_silico,0
healthy_NBL_0_20000000_rep6,0.0,MeDeCom,NBL,CpGIslands,2000000,50,cfrrbs,in_silico,0
healthy_NBL_0_20000000_rep8,0.0,MeDeCom,NBL,CpGIslands,2000000,50,cfrrbs,in_silico,0
healthy_NBL_0.0001_20000000_rep1,0.0,RefFreeCellMix,NBL,CpGIslands,2000000,20,cfrrbs,in_silico,0.0001
healthy_NBL_0.001_20000000_rep5,0.0015,RefFreeCellMix,NBL,CpGIslands,2000000,20,cfrrbs,in_silico,0.001
healthy_NBL_0.003_20000000_rep8,0.0046,RefFreeCellMix,NBL,CpGIslands,2000000,20,cfrrbs,in_silico,0.003
healthy_NBL_0.007_20000000_rep10,0.0144,RefFreeCellMix,NBL,CpGIslands,2000000,20,cfrrbs,in_silico,0.007
healthy_NBL_0.007_20000000_rep5,0.0157,RefFreeCellMix,NBL,CpGIslands,2000000,20,cfrrbs,in_silico,0.007
healthy_NBL_0.007_20000000_rep9,0.0162,RefFreeCellMix,NBL,CpGIslands,2000000,20,cfrrbs,in_silico,0.007
healthy_NBL_0.01_20000000_rep1,0.0225,RefFreeCellMix,NBL,CpGIslands,2000000,20,cfrrbs,in_silico,0.01
healthy_NBL_0.01_20000000_rep5,0.025,RefFreeCellMix,NBL,CpGIslands,2000000,20,cfrrbs,in_silico,0.01
healthy_NBL_0.01_20000000_rep7,0.0237,RefFreeCellMix,NBL,CpGIslands,2000000,20,cfrrbs,in_silico,0.01
healthy_NBL_0.025_20000000_rep1,0.0613,RefFreeCellMix,NBL,CpGIslands,2000000,20,cfrrbs,in_silico,0.025
healthy_NBL_0.025_20000000_rep5,0.0634,RefFreeCellMix,NBL,CpGIslands,2000000,20,cfrrbs,in_silico,0.025
healthy_NBL_0.025_20000000_rep7,0.0614,RefFreeCellMix,NBL,CpGIslands,2000000,20,cfrrbs,in_silico,0.025
healthy_NBL_0.025_20000000_rep9,0.0624,RefFreeCellMix,NBL,CpGIslands,2000000,20,cfrrbs,in_silico,0.025
healthy_NBL_0.05_20000000_rep1,0.1287,RefFreeCellMix,NBL,CpGIslands,2000000,20,cfrrbs,in_silico,0.05
healthy_NBL_0.05_20000000_rep2,0.1251,RefFreeCellMix,NBL,CpGIslands,2000000,20,cfrrbs,in_silico,0.05
healthy_NBL_0.1_20000000_rep10,0.243,RefFreeCellMix,NBL,CpGIslands,2000000,20,cfrrbs,in_silico,0.1
healthy_NBL_0.1_20000000_rep6,0.2467,RefFreeCellMix,NBL,CpGIslands,2000000,20,cfrrbs,in_silico,0.1
healthy_NBL_0.5_20000000_rep3,0.9998,RefFreeCellMix,NBL,CpGIslands,2000000,20,cfrrbs,in_silico,0.5
healthy_NBL_0.5_20000000_rep9,0.9959,RefFreeCellMix,NBL,CpGIslands,2000000,20,cfrrbs,in_silico,0.5
healthy_NBL_0_20000000_rep9,0.0,RefFreeCellMix,NBL,CpGIslands,2000000,20,cfrrbs,in_silico,0
healthy_NBL_0.0001_20000000_rep1,0.0,MeDeCom,NBL,CpGIslands,2000000,20,cfrrbs,in_silico,0.0001
healthy_NBL_0.001_20000000_rep5,0.001439740158624,MeDeCom,NBL,CpGIslands,2000000,20,cfrrbs,in_silico,0.001
healthy_NBL_0.003_20000000_rep8,0.0044669058562666,MeDeCom,NBL,CpGIslands,2000000,20,cfrrbs,in_silico,0.003
healthy_NBL_0.007_20000000_rep10,0.0141121107370724,MeDeCom,NBL,CpGIslands,2000000,20,cfrrbs,in_silico,0.007
healthy_NBL_0.007_20000000_rep5,0.0153494656827917,MeDeCom,NBL,CpGIslands,2000000,20,cfrrbs,in_silico,0.007
healthy_NBL_0.007_20000000_rep9,0.0158151742012773,MeDeCom,NBL,CpGIslands,2000000,20,cfrrbs,in_silico,0.007
healthy_NBL_0.01_20000000_rep1,0.0219587066726778,MeDeCom,NBL,CpGIslands,2000000,20,cfrrbs,in_silico,0.01
healthy_NBL_0.01_20000000_rep5,0.0244055284207776,MeDeCom,NBL,CpGIslands,2000000,20,cfrrbs,in_silico,0.01
healthy_NBL_0.01_20000000_rep7,0.023128558653627,MeDeCom,NBL,CpGIslands,2000000,20,cfrrbs,in_silico,0.01
healthy_NBL_0.025_20000000_rep1,0.059878044417776,MeDeCom,NBL,CpGIslands,2000000,20,cfrrbs,in_silico,0.025
healthy_NBL_0.025_20000000_rep5,0.0619193151646961,MeDeCom,NBL,CpGIslands,2000000,20,cfrrbs,in_silico,0.025
healthy_NBL_0.025_20000000_rep7,0.0599878282440941,MeDeCom,NBL,CpGIslands,2000000,20,cfrrbs,in_silico,0.025
healthy_NBL_0.025_20000000_rep9,0.0610271676296418,MeDeCom,NBL,CpGIslands,2000000,20,cfrrbs,in_silico,0.025
healthy_NBL_0.05_20000000_rep1,0.125803876550044,MeDeCom,NBL,CpGIslands,2000000,20,cfrrbs,in_silico,0.05
healthy_NBL_0.05_20000000_rep2,0.122275030420232,MeDeCom,NBL,CpGIslands,2000000,20,cfrrbs,in_silico,0.05
healthy_NBL_0.1_20000000_rep10,0.237506044264447,MeDeCom,NBL,CpGIslands,2000000,20,cfrrbs,in_silico,0.1
healthy_NBL_0.1_20000000_rep6,0.241032097271004,MeDeCom,NBL,CpGIslands,2000000,20,cfrrbs,in_silico,0.1
healthy_NBL_0.5_20000000_rep3,0.977060315135846,MeDeCom,NBL,CpGIslands,2000000,20,cfrrbs,in_silico,0.5
healthy_NBL_0.5_20000000_rep9,0.973261708946221,MeDeCom,NBL,CpGIslands,2000000,20,cfrrbs,in_silico,0.5
healthy_NBL_0_20000000_rep9,0.0,MeDeCom,NBL,CpGIslands,2000000,20,cfrrbs,in_silico,0
